Tool,Features,Game/Engineering,Format,Open Source,Description,Link
CarSim TRT,,Engineer.,,No,,
CarSim/TruckSim/BikeSim,,Engineer.,,No,,
CATIA,,Engineer.,,,,
CFD software such as OpenFOAM and Fluent,,Engineer.,,,,
CFD++,,Engineer.,,,,
CFX,,Engineer.,,,,
ChassisSim,,Engineer.,,,,
Co-Simulation Framework (CSF),,Engineer.,,,,
CONVERGE CFD,,Engineer.,,,,
CosiMate,,Engineer.,,,,
Cosin Motion,,Engineer.,,,,
Cradle CFD,,Engineer.,,,,
CRUISE M,,Engineer.,,,,
CV-Drive,,Engineer.,,,,
DADS,,Engineer.,,,,
Dassault Systemes SIMULIA,,Engineer.,,,,
DIAdem,,Engineer.,,,,
DIMAI,,Engineer.,,,,
DrivSim,,Engineer.,,,,
Durability Solver,,Engineer.,,,,
Dymola,,Engineer.,,,,
Dynamic Modeling,,Engineer.,,,,
Easy5,,Engineer.,,,,
EASY5/Engine,,Engineer.,,,,
Energy Management System (EMS),,Engineer.,,,,
Engine Analyzer,,Engineer.,,,,
Exa PowerFLOW,,Engineer.,,,,
FEAview,,Engineer.,,,,
FEMFAT,,Engineer.,,,,
FLOW-3D,,Engineer.,,,,
FLOW-3D Cast,,Engineer.,,,,
FLUENT,,Engineer.,,,,
Fluent Adjoint Solver,,Engineer.,,,,
Fluent Meshing,,Engineer.,,,,
Fluent Polyhedral Meshing,,Engineer.,,,,
FM-MBS,,Engineer.,,,,
Functional Mock-up Interface (FMI),,Engineer.,,,,
Gamma Technologies GT-Power,,Engineer.,,,,
Gearbox Design,,Engineer.,,,,
GEMS,,Engineer.,,,,
Geomagic Design X,,Engineer.,,,,
GT-Power,,Engineer.,,,,
GT-SUITE,,Engineer.,,,,
HEEDS,,Engineer.,,,,
HyperMesh,,Engineer.,,,,
HyperStudy,,Engineer.,,,,
HyperWorks,,Engineer.,,,,
INSIGHT,,Engineer.,,,,
IPG Virtual Vehicle,,Engineer.,,,,
Isight,,Engineer.,,,,
JMAG,,Engineer.,,,,
KISSsoft,,Engineer.,,,,
KULI,,Engineer.,,,,
LMS Imagine.Lab Amesim,,Engineer.,,,,
LMS Imagine.Lab Motion,,Engineer.,,,,
LMS Imagine.Lab Sysdm,,Engineer.,,,,
LMS Test.Lab,,Engineer.,,,,
LMS Virtual.Lab Motion,,Engineer.,,,,
LMS Virtual.Lab Motion AVL,,Engineer.,,,,
LMS Virtual.Lab Rev,,Engineer.,,,,
LMS Virtual.Lab Vehicle,,Engineer.,,,,
LS-DYNA,,Engineer.,,,,
LS-DYNA,,Engineer.,,,,
LS-DYNA/LS-PrePost,,Engineer.,,,,
LS-DYNA/S,,Engineer.,,,,
LS-OPT,,Engineer.,,,,
MADYMO,,Engineer.,,,,
MADYMO Motorcycle,,Engineer.,,,,
Magma Injection,,Engineer.,,,,
MAGMA5,,Engineer.,,,,
MapleSim,,Engineer.,,,,
MATLAB,,Engineer.,,,,
Matlab/Simulink,,Engineer.,,,,
MBDyn,,Engineer.,,,,
Modelica,,Engineer.,,,,
Modelon Impact,,Engineer.,,,,
Modelon Library Suite,,Engineer.,,,,
Modelon Powertrain Library,,Engineer.,,,,
Modelon Vehicle Dynamics Library,,Engineer.,,,,
MotionSolve,,Engineer.,,,,
MSC Adams,,Engineer.,,,,
MSC ADAMS/Car,,Engineer.,,,,
MSC Adams/Engine,,Engineer.,,,,
MSC Adams/Flex,,Engineer.,,,,
MSC Easy5,,Engineer.,,,,
MSC Nastran,,Engineer.,,,,
Multi-Body Simulation X (MBS-X),,Engineer.,,,,
Multi-Disciplinary Optimization (MDO),,Engineer.,,,,
Multi-Physics Simulation (MPS),,Engineer.,,,,
Multi-Physics System Simulation,,Engineer.,,,,
Multibody Dynamics Simulation (MBDS),,Engineer.,,,,
MultiMech,,Engineer.,,,,
nCode DesignLife,,Engineer.,,,,
NOVA CFD,,Engineer.,,,,
NUMECA,,Engineer.,,,,
OpenFOAM,,Engineer.,,,,
OpenFOAM+,,Engineer.,,,,
OpenModelica,,Engineer.,,,,
OptimumG,,Engineer.,,,,
Optistruct,,Engineer.,,,,
PAM-CRASH,,Engineer.,,,,
PAM-STAMP,,Engineer.,,,,
Permas,,Engineer.,,,,
PhysX,,Engineer. / Game,"Github, SDK",Yes,"NVIDIA PhysX® is an open source, scalable, multi-platform physics simulation solution supporting a wide range of devices, from smartphones to high-end multicore CPUs and GPUs.
The powerful SDK brings high-performance and precision accuracy to industrial simulation use cases from traditional VFX and game development workflows, to high-fidelity robotics, medical simulation, and scientific visualization applications.",https://developer.nvidia.com/physx-sdk
PipeLay,,Engineer.,,,,
PowerFLOW,,Engineer.,,,,
RecurDyn,,Engineer.,,,,
rFpro,,Engineer.,,,,
Ricardo IGNITE,,Engineer.,,,,
Ricardo VECTIS,,Engineer.,,,,
Ricardo Wave,,Engineer.,,,,
Ricardo WAVE-RT,,Engineer.,,,,
Ricardo Wave6,,Engineer.,,,,
RomaxDESIGNER,,Engineer.,,,,
RomaxEnduro,,Engineer.,,,,
Siemens PLM Simcenter Amesim,,Engineer.,,,,
Siemens PLM Simcenter Motion,,Engineer.,,,,
Siemens PLM Simcenter Prescan,,Engineer.,,,,
Siemens PLM Simcenter System Synthesis,,Engineer.,,,,
Siemens PLM Simcenter Tyre,,Engineer.,,,,
Simcenter 3D,,Engineer.,,,,
Simcenter 3D Motion,,Engineer.,,,,
Simcenter Amesim,,Engineer.,,,,
Simcenter Amesim Acoustics,,Engineer.,,,,
Simcenter Amesim CFD,,Engineer.,,,,
Simpack,,Engineer.,,,,
Simpack NVH,,Engineer.,,,,
Simpack Vehicle Dynamics,,Engineer.,,,,
Simulink,,Engineer.,,,,
Simulink/Stateflow,,Engineer.,,,,
SolidWorks Simulation,,Engineer.,,,,
STAR-CCM+,,Engineer.,,,,
STAR-CCM+ / ESI-GROUP,,Engineer.,,,,
STAR-CD,,Engineer.,,,,
STAR-CD/ESI-GROUP,,Engineer.,,,,
Tecplot 360,,Engineer.,,,,
VI-CarRealTime,,Engineer.,,,,
Virtual.Lab Motion,,Engineer.,,,,
XFlow CFD,,Engineer.,,,,
